SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
Cc1ccc(S(=O)(=O)OC[C@@H]2CN3[C@@H](CC[C@@H](C)[C@H]3c3ccc(Br)cc3)C(=O)O2)cc1,5.364,13,76,39,28,26.52,2.421,34.496,3.834,22.265,0.0,9.028,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,96,10,0,236,112,24.757400000000008,283.3987999999999,4.8074,-50.62400000000001,24.757400000000008,283.3987999999999,0.0371149206525719
COc1cccc2oc(-c3ccccc3)cc(=O)c12,4.636,5,24,24,12,12.24,0.0,3.136,0.0,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,44,0,0,120,70,2.1492,41.9555,0.4376,-5.790900000000001,2.1492,41.9555,0.0256752194490203
CCC(=O)Nc1ccc(Cl)c(Cl)c1,4.659,13,29,20,12,9.18,0.0,15.68,3.834,4.453,12.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,47,0,0,103,43,7.388300000000001,83.9109,1.343,-15.9135,7.388300000000001,83.9109,0.0152724512616332
Cc1ccc2oc(-c3ccccc3)cc(=O)c2c1,4.652,5,24,24,12,12.24,0.0,3.136,0.0,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,40,0,0,112,68,1.6962000000000002,26.4981,0.327,-4.1211,1.6962000000000002,26.4981,0.0191677913383302
CCCC[C@@H]1CN2[C@@H](CC[C@@H](C)[C@H]2c2ccc(Br)cc2)C(=O)O1,5.717,10,47,34,12,26.52,2.421,40.768,3.834,8.906,0.0,9.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,66,10,0,172,84,22.882500000000004,250.87869999999992,4.642900000000001,-42.4967,22.882500000000004,250.87869999999992,0.032505803547114
C=C[C@]1(C)CC(=O)[C@]2(O)[C@](C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)[C@@]12C,5.468,14,40,28,12,34.68,0.0,68.992,0.0,31.171000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,72,0,0,188,102,30.52140000000001,351.09720000000004,5.535000000000001,-65.61720000000001,30.52140000000001,351.09720000000004,0.0826571428739839
CC(=O)OC1CC2C(C)(C)C(O)CC[C@@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C4O[C@@]43[C@]12C,5.757,13,40,28,12,38.76,0.0,75.26400000000001,0.0,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,84,0,0,224,126,32.554800000000014,357.72119999999995,5.857200000000001,-68.85000000000002,32.554800000000014,357.72119999999995,0.0585056636053563
COC(=O)CC1C(C)(C)C(=O)C2CC3=C(CC[C@]4(C)C3=CC(=O)OC4c3ccoc3)[C@@]1(C)C2=O,5.383,7,36,24,12,30.6,0.0,72.128,0.0,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,82,0,0,218,122,31.311600000000016,346.68049999999994,5.640800000000001,-66.39870000000003,31.311600000000016,346.68049999999994,0.0380338866625321
CCO[C@H](c1cc(OC)cc([N+](=O)[O-])c1OC)[C@H](C)/C=C\CC(=O)OC,5.263,11,41,51,30,25.5,0.0,37.632000000000005,3.834,31.171000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,67,0,0,171,89,20.1425,281.11619999999994,4.081600000000001,-44.14880000000001,20.1425,281.11619999999994,0.0550816192696193
COC(=O)C[C@@H]1O[C@H]1[C@H](C)[C@@H](OC)C(C)C,5.215,6,36,24,12,22.44,0.0,37.632000000000005,0.0,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,40,0,0,104,56,19.398000000000003,248.6699999999999,4.1596,-38.20960000000001,19.398000000000003,248.6699999999999,0.0427533483351468
