SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
Cc1ccc(C)c(c1)N(=O)=O,1,9,15,37,30,9.18,0.0,6.272,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,27,0,0,71,39,4.1117,66.2462,0.8044000000000001,-10.2294,4.1117,66.2462,0.009900734290826153
O=N(=O)c1ccc(C=C(C#N)C#N)o1,1,13,28,46,18,3.06,0.0,12.544,11.502,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,37,0,0,93,47,8.0367,114.8276,1.5380000000000003,-19.1064,8.0367,114.8276,0.0026408026947281906
Oc1ccc(Nc2ccc(cc2N(=O)=O)N(=O)=O)cc1,1,19,25,47,18,9.18,0.0,0.0,11.502,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,53,0,0,133,67,4.4229,117.037,1.0042,-14.3106,4.4229,117.037,0.03699892597054342
CCC(=N(=O)O)C(C)O,0,17,25,33,20,11.22,0.0,15.68,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,25,0,0,61,29,8.2943,114.82570000000001,1.5641999999999998,-19.2531,8.2943,114.82570000000001,0.04556895380973514
O=N(=O)c1ccc2ccc3ccc(cc3c2c1)N(=O)=O,1,9,15,37,18,8.16,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,50,0,0,130,70,3.2506,88.3296,0.7432000000000001,-10.6536,3.2506,88.3296,0.011723025466504408
O=N(=O)c1ccc2ccc3c(c4ccccc4c4ccc1c2c34)N(=O)=O,1,9,15,37,18,10.2,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,62,0,0,166,94,3.2506,88.3296,0.7432000000000001,-10.6536,3.2506,88.3296,0.012655430510036498
Clc1ccc(cc1N(=O)=O)N(=O)=O,1,12,16,37,18,3.06,0.0,3.136,7.668,17.812,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,45,0,0,99,39,4.4938,99.37030000000001,0.9596000000000001,-13.1049,4.4938,99.37030000000001,0.00291528040618295
Cc1ncc(n1CCO)N(=O)=O,1,16,25,47,30,9.18,0.0,9.408000000000001,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,33,0,0,81,39,5.807900000000002,92.74430000000001,1.1314,-14.3505,5.807900000000002,92.74430000000001,0.033555771516802065
Oc1ccccc1N(=O)=O,0,16,25,47,18,5.1,0.0,0.0,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,27,0,0,67,33,2.0783,59.6222,0.4822000000000001,-6.996600000000001,2.0783,59.6222,0.026297383463761117
O=n1cccc2ccccc12,0,8,15,23,8,7.140000000000001,0.0,0.0,0.0,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,25,0,0,69,41,0.453,15.4574,0.1106,-1.6698,0.453,15.4574,0.02046753471231567
