SMILES,res,N_(fA),C_(fA),O_(fA),H_(fA),interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts
Cc1ccc(C)c(c1)N(=O)=O,1,-0.004296289853669411,7.124527866749179e-05,-0.0005433114835131875,3.188324915067154e-05,9,15,37,30
O=N(=O)c1ccc(C=C(C#N)C#N)o1,1,0.002475680562903271,0.0004961376584833598,-0.0006128582928599506,1.1673935274327608e-05,13,28,46,18
Oc1ccc(Nc2ccc(cc2N(=O)=O)N(=O)=O)cc1,1,-0.004559678047341557,0.00019759125113742517,-0.0004888687312499715,2.4670935766181535e-05,19,25,47,18
CCC(=N(=O)O)C(C)O,0,-0.00824878875472851,0.0003411576569861495,-0.001436585881916181,7.771023330819611e-05,17,25,33,20
O=N(=O)c1ccc2ccc3ccc(cc3c2c1)N(=O)=O,1,-0.0024074251274935686,9.44397793101505e-05,-0.00034513170232379557,1.4804415019929423e-05,9,15,37,18
O=N(=O)c1ccc2ccc3c(c4ccccc4c4ccc1c2c34)N(=O)=O,1,-0.002902623123362273,4.1668673162793724e-05,-0.00021190847418935224,1.0868032813175921e-05,9,15,37,18
Clc1ccc(cc1N(=O)=O)N(=O)=O,1,0.0024573213926549556,0.00034078554887533475,-0.0006077961730973008,1.0343617119390106e-05,12,16,37,18
Cc1ncc(n1CCO)N(=O)=O,1,-0.004767625544556627,0.0005370356177951982,-0.0009087253946351465,4.661471030960084e-05,16,25,47,30
Oc1ccccc1N(=O)=O,0,-0.005126921966283342,0.0003703599508018988,-0.0012646272715690831,5.737681492020337e-05,16,25,47,18
O=n1cccc2ccccc12,0,-0.006807203416167341,0.00022228082647356056,-0.0007052208866396725,5.0407071813991284e-05,8,15,23,8
O=N(=O)c1ccccc1,0,-0.004261089614745088,0.00015224566581652628,-0.0008191161345851969,4.312734866291896e-05,9,15,37,18
OC(C(COC(=O)CCC(=O)O)N=C(O)C(Cl)Cl)c1ccc(cc1)N(=O)=O,0,-0.004112912838619858,0.00016603588800246142,-0.00038356704533731807,1.767540124602496e-05,21,50,55,30
O=N(=O)c1cnc2c(c1)nc1ccccn21,1,-0.002717076680772872,0.00029617754015318786,-0.00027056450458778913,1.9139654917558086e-05,9,15,37,18
Fc1ccc(NC(=O)c2csc(c2)N(=O)=O)cc1,1,-0.0021269147846112372,0.0001866195368615856,-0.00026588964327910636,1.6287335030450978e-05,16,34,47,18
Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O,0,-0.001637511714674316,0.00011137408138711917,-0.000350105231876223,1.3236672938511564e-05,9,15,37,30
CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,0,0.00030092148623226837,8.33575568842752e-05,-0.0005878036771162016,1.2599265547930337e-05,8,24,46,40
O=N(=O)OC1COC2C(COC12)ON(=O)=O,0,0.0005604361696809844,0.00022649640693866988,-0.0007699840324808048,1.7856551913476424e-05,8,24,46,40
FC(F)(F)c1ccc(Cl)c(c1)N(=O)=O,0,0.0045454109836554285,0.00029536028386917707,-0.00024491423473536276,7.796655650887104e-06,15,16,37,30
CNN(=O)=O,0,-0.010192755403538391,0.0002015544565289724,-0.0019501181807217273,0.000135574093816046,11,15,37,30
CCN(CCON(=O)=O)N(=O)=O,1,-0.002149659197719294,0.0001438359259849272,-0.0007477734835905106,2.594736643523285e-05,8,24,46,40
Nc1nc(nc2n(cnc12)-c1ccc(cc1)N(=O)=O)-c1ccc(cc1)N(=O)=O,1,-0.003959366015054016,0.00016029132456685385,-0.0001743926291081255,1.3430762746898533e-05,13,15,37,18
Nc1cc(cc(c1O)S(=O)(=O)O)N(=O)=O,0,-0.003680294931779926,0.0002441869987953999,-0.0007410943729637501,3.590845565073186e-05,23,54,52,34
Cc1c(O)cc(cc1N(=O)=O)N(=O)=O,0,-0.00028193117114920475,0.0004067234246368652,-0.0009427120440705911,2.6965716473149713e-05,16,25,47,30
OCCN=C1N=C(Nc2ccccc12)c1ccc(s1)N(=O)=O,1,-0.006366559215804317,0.00012926067204693703,-0.00021851742433771503,1.9819161187241866e-05,18,30,52,30
O=N(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccn2,0,-0.003149910658568236,8.573722797868709e-05,-0.00028329135906287917,1.863184512179556e-05,15,32,42,34
CSC(C)(C)C=NOC(=NC)O,0,-0.009300765109849611,0.00022043155628753442,-0.0005077889052611611,4.312047396135357e-05,14,33,33,12
CC(=O)NC1=CC(=CC=C1)O,1,-0.011315014362496845,0.0002255879381130282,-0.0008234501685659834,7.21443248051394e-05,17,38,30,12
