T(F_e-)_p,mol(susceptibility)_p,T(P_e-)_p,H_zeff,T(Mo_Val_e-)_p,interactive Donar electrons count,S_zeff,SphereEnergy,N_zeff,T_polari(α)_p,T(D_e-)_p,Cl_zeff,mol(R)_p,mol_ms(R)_p,T(S_e-)_p,interactive Acceptore electrons count,mol(orb_exponent),T(Mo_e-)_p,F_zeff,negative ionizable electrones count,C_zeff,T_hard(η)_p,Br_zeff,O_zeff,B_zeff,res
0,-50.62400000000001,96,26.52,112,13,5.482,0.0371149206525719,3.834,24.757400000000008,10,0.0,24.757400000000008,4.8074,130,76,283.3987999999999,236,0.0,39,34.496,283.3987999999999,9.028,22.265,2.421,5.364
0,-5.790900000000001,44,12.24,70,5,0.0,0.0256752194490203,0.0,2.1492,0,0.0,2.1492,0.4376,76,24,41.9555,120,0.0,24,3.136,41.9555,0.0,8.906,0.0,4.636
0,-15.9135,47,9.18,43,13,0.0,0.0152724512616332,3.834,7.388300000000001,0,12.232,7.388300000000001,1.343,56,29,83.9109,103,0.0,20,15.68,83.9109,0.0,4.453,0.0,4.659
0,-4.1211,40,12.24,68,5,0.0,0.0191677913383302,0.0,1.6962000000000002,0,0.0,1.6962000000000002,0.327,72,24,26.4981,112,0.0,24,3.136,26.4981,0.0,4.453,0.0,4.652
0,-42.4967,66,26.52,84,10,0.0,0.032505803547114,3.834,22.882500000000004,10,0.0,22.882500000000004,4.642900000000001,96,47,250.87869999999992,172,0.0,34,40.768,250.87869999999992,9.028,8.906,2.421,5.717
0,-65.61720000000001,72,34.68,102,14,0.0,0.0826571428739839,0.0,30.52140000000001,0,0.0,30.52140000000001,5.535000000000001,116,40,351.09720000000004,188,0.0,28,68.992,351.09720000000004,0.0,31.171000000000003,0.0,5.468
0,-68.85000000000002,84,38.76,126,13,0.0,0.0585056636053563,0.0,32.554800000000014,0,0.0,32.554800000000014,5.857200000000001,140,40,357.72119999999995,224,0.0,28,75.26400000000001,357.72119999999995,0.0,26.718000000000004,0.0,5.757
0,-66.39870000000003,82,30.6,122,7,0.0,0.0380338866625321,0.0,31.311600000000016,0,0.0,31.311600000000016,5.640800000000001,136,36,346.68049999999994,218,0.0,24,72.128,346.68049999999994,0.0,26.718000000000004,0.0,5.383
0,-44.14880000000001,67,25.5,89,11,0.0,0.0550816192696193,3.834,20.1425,0,0.0,20.1425,4.081600000000001,104,41,281.11619999999994,171,0.0,51,37.632000000000005,281.11619999999994,0.0,31.171000000000003,0.0,5.263
0,-38.20960000000001,40,22.44,56,6,0.0,0.0427533483351468,0.0,19.398000000000003,0,0.0,19.398000000000003,4.1596,64,36,248.6699999999999,104,0.0,24,37.632000000000005,248.6699999999999,0.0,17.812,0.0,5.215
0,-15.7029,50,14.28,70,12,0.0,0.1197140412104692,0.0,5.9946,0,0.0,5.9946,1.2022000000000002,80,23,110.4091,130,0.0,23,9.408,110.4091,0.0,22.265,0.0,4.688
0,-9.912,50,14.28,76,5,0.0,0.0325572700056496,0.0,3.8454,0,0.0,3.8454,0.7646000000000001,84,24,68.4536,134,0.0,24,6.272,68.4536,0.0,13.359000000000002,0.0,4.666
0,-27.7059,71,21.42,85,17,0.0,0.0496749935042692,7.668,13.0804,0,6.116,13.0804,2.359,100,34,141.3237,171,0.0,25,28.224,141.3237,0.0,4.453,0.0,5.317
0,-39.38340000000001,69,25.5,99,14,5.482,0.0692427593817862,11.502,17.255000000000003,0,0.0,17.255000000000003,2.8855,110,33,178.26039999999998,179,0.0,33,28.224,178.26039999999998,0.0,8.906,0.0,4.577
0,-46.282,73,35.7,113,14,0.0,0.0794800658462538,7.668,22.112500000000004,0,0.0,22.112500000000004,4.1587,124,28,252.0707,197,0.0,28,47.04,252.0707,0.0,13.359000000000002,0.0,5.153
0,-11.0109,25,13.26,41,15,0.0,0.05981664178515,3.834,4.9019,0,0.0,4.9019,0.9102,44,25,61.8295,69,0.0,25,9.408,61.8295,0.0,4.453,0.0,4.769
0,-3.657,31,11.22,53,15,0.0,0.0609430513728577,3.834,1.1723,0,0.0,1.1723,0.261,56,25,28.7074,87,0.0,25,0.0,28.7074,0.0,4.453,0.0,4.713
0,-47.592200000000005,84,40.8,138,14,0.0,0.0737802023602819,7.668,23.569600000000005,0,0.0,23.569600000000005,4.5446,148,28,261.2419999999999,232,0.0,28,50.176,261.2419999999999,0.0,8.906,0.0,5.53
0,-13.4622,27,15.3,45,12,0.0,0.0538026541650237,3.834,6.1451,0,0.0,6.1451,1.1266,48,25,72.87020000000001,75,0.0,25,12.544,72.87020000000001,0.0,4.453,0.0,4.766
0,-71.95920000000001,89,41.82,133,9,0.0,0.0664386103413364,7.668,34.750900000000016,0,0.0,34.750900000000016,6.7819,148,41,413.94450000000006,237,0.0,29,72.128,413.94450000000006,0.0,26.718000000000004,0.0,5.3
0,-45.26490000000001,98,26.52,100,11,5.482,0.0559235883625242,11.502,19.745600000000007,0,12.232,19.745600000000007,3.3512000000000004,126,15,222.41719999999995,224,15.3,14,34.496,222.41719999999995,0.0,0.0,0.0,5.077
0,-57.186100000000025,79,45.9,137,7,0.0,0.0569382914476059,11.502,28.14180000000001,0,0.0,28.14180000000001,5.169900000000001,144,24,289.60939999999994,223,0.0,24,62.72,289.60939999999994,0.0,4.453,0.0,5.315
0,-14.0331,34,12.24,44,12,0.0,0.069422734948309,0.0,5.5416,0,0.0,5.5416,1.0916,52,23,94.9517,86,0.0,23,9.408,94.9517,0.0,17.812,0.0,4.703
0,-54.73480000000002,77,43.86,133,7,0.0,0.054798128351363,11.502,26.89860000000001,0,0.0,26.89860000000001,4.953500000000001,140,24,278.5686999999999,217,0.0,24,59.584,278.5686999999999,0.0,4.453,0.0,5.293
0,-7.460700000000001,36,8.16,48,12,0.0,0.0452499816132798,0.0,2.6022,0,0.0,2.6022,0.5482,56,28,57.4129,92,0.0,28,3.136,57.4129,0.0,13.359000000000002,0.0,4.675
0,-11.7924,20,4.08,16,10,0.0,0.0047560936484388,3.834,5.6921,0,6.116,5.6921,1.016,22,14,57.4128,42,0.0,9,12.544,57.4128,0.0,0.0,0.0,4.672
0,-65.6627,83,39.78,121,14,0.0,0.0905786504288298,7.668,32.35510000000001,0,0.0,32.35510000000001,6.692900000000001,136,28,407.9984000000001,219,0.0,28,62.72,407.9984000000001,0.0,26.718000000000004,0.0,4.829
0,-53.99550000000002,72,32.64,108,17,0.0,0.0731789593673203,7.668,24.838000000000008,0,0.0,24.838000000000008,4.5326,120,49,291.4789,192,0.0,33,53.312000000000005,291.4789,0.0,22.265,0.0,4.638
0,-14.6679,44,10.2,70,10,0.0,0.014376326596826,7.668,6.0742,0,0.0,6.0742,1.1712,76,15,90.5369,120,0.0,15,9.408,90.5369,0.0,8.906,0.0,4.705
0,-44.528400000000005,79,27.54,95,8,10.964,0.0468767488677506,7.668,19.8752,0,6.116,19.8752,2.9958,110,15,153.36559999999997,189,0.0,14,31.36,153.36559999999997,0.0,0.0,0.0,4.989
0,-66.59250000000004,122,51.0,196,12,0.0,0.1138134628526982,11.502,31.74060000000001,0,0.0,31.74060000000001,6.283100000000001,212,32,394.0724000000001,334,0.0,24,62.72,394.0724000000001,0.0,26.718000000000004,0.0,5.436
