negative ionizable electrones count,positive_ionizable electrons counts,interactive Donar electrons count,Avg(µ)_sample,interactive Acceptore electrons count,Avg(RI)_sample,res
37,30,9,0.0792088548662633,15,42.57040000000002,1
46,18,13,1.5913006470760325,28,44.5654,1
47,18,19,0.3710840528533298,25,71.1403,1
33,20,17,-0.9143615496455308,25,32.39269999999999,0
37,18,9,-2.0859141253381392,15,74.76280000000003,1
37,18,9,-0.1235841227813826,15,100.96080000000003,1
37,18,12,1.358070852432545,16,44.7608,1
47,30,16,-0.6908970989340418,25,40.704200000000014,1
47,18,16,0.9774123497297894,25,34.7612,0
23,8,8,-1.444239437867834,15,42.908000000000015,0
37,18,9,-0.9635139161662432,15,33.0964,0
55,30,21,-0.6330860593956975,50,95.23080000000004,0
37,18,9,-0.812943176196549,15,58.546400000000006,1
47,18,16,0.1185222497889077,34,65.3266,1
37,30,9,-0.7866702913548845,15,72.66180000000003,0
46,40,8,0.3294594921309405,24,46.946200000000026,0
46,40,8,-0.0297158007473142,24,43.21480000000002,0
37,30,15,1.398434330337386,16,43.1084,0
37,30,11,-0.9737400770313768,15,16.054100000000002,0
46,40,8,0.2547429378918394,24,37.18780000000001,1
37,18,13,-0.8136713706914297,15,99.8172,1
52,34,23,-0.2258615573970888,54,48.9882,0
47,30,16,0.3505486775618816,25,46.15260000000001,0
52,30,18,-0.6936816240219407,30,86.06490000000004,1
42,34,15,-0.8659364783799894,32,68.14190000000002,0
33,12,14,0.8291742444778691,33,53.15880000000003,0
30,12,17,0.1246728965935326,38,42.41050000000002,1
